0.25 edges=11 [] 
0.301879687409855 edges=10 [Project] 
0.567068353101534 edges=8 [Project] 
0.162505605412089 edges=5 [Project] 
0.162505605412089 edges=5 [Project] 
0.162505605412089 edges=5 [Project] 
0.162505605412089 edges=5 [Project] 
0 edges=4 [Project] 
0 edges=4 [Project] 
0 edges=4 [Project] 
0 edges=4 [Project] 
0 edges=4 [Project] 
0 edges=4 [Project] 
