0.5 edges=5 [] 
0.333333333333333 edges=4 [Project] 
0.459147917027245 edges=3 [Project] 
0 edges=2 [Project] 
0 edges=2 [Project] 
0 edges=2 [Project] 
0 edges=2 [Project] 
0 edges=2 [Project] 
0 edges=2 [Project] 
0 edges=2 [Project] 
0 edges=2 [Project] 
0 edges=2 [Project] 
0 edges=2 [Project] 
